iso,countryname,continent,population(mil),gdp
ago,Angola,Africa,23.36913109,5988.534997
bdi,Burundi,Africa,8.766929626,731.4232803
ben,Benin,Africa,9.199258804,1919.996948
bfa,Burkina Faso,Africa,15.60521698,1327.216531
bwa,Botswana,Africa,2.014866114,12256.14159
caf,Central African Republic,Africa,4.448524952,865.4421867
cmr,Cameroon,Africa,19.97049522,2684.97289
cod,Democratic Republic of the Congo,Africa,64.52326202,634.9713963
cog,Republic of the Congo,Africa,4.386693001,4979.990496
com,Comoros,Africa,0.68969202,2292.997969
cpv,Cape Verde,Africa,0.502384007,5644.821253
dji,Djibouti,Africa,0.851145983,2124.442063
dza,Algeria,Africa,36.11763763,12590.22422
egy,Egypt,Africa,84.10760498,9148.839753
eth,Ethiopia,Africa,87.70266724,1100.183188
gab,Gabon,Africa,1.640210032,11961.16823
gha,Ghana,Africa,24.51210403,3931.291832
gin,Guinea,Africa,10.79417038,1742.734674
gmb,Gambia,Africa,1.692149043,2681.858617
gnb,Guinea-Bissau,Africa,1.555879951,1387.249731
gnq,Equatorial Guinea,Africa,0.951103985,31416.88714
ken,Kenya,Africa,41.35015106,2484.034909
lbr,Liberia,Africa,3.948124886,786.6702307
lso,Lesotho,Africa,2.040550947,2432.797655
mar,Morocco,Africa,32.40963745,6421.937678
mdg,Madagascar,Africa,21.15163994,1459.915612
mli,Mali,Africa,15.07508469,1873.280962
moz,Mozambique,Africa,24.22140503,969.2307623
mrt,Mauritania,Africa,3.609543085,3082.647029
mus,Mauritius,Africa,1.247954965,15178.32592
mwi,Malawi,Africa,15.16709518,972.0456815
nam,Namibia,Africa,2.17317009,7689.17124
ner,Niger,Africa,16.42557716,845.8693682
nga,Nigeria,Africa,158.5782623,5186.304308
rwa,Rwanda,Africa,10.24684238,1379.699325
sdn,Sudan,Africa,34.38596344,3608.785618
sen,Senegal,Africa,12.91622925,2741.121456
sle,Sierra Leone,Africa,6.458720207,1161.879694
swz,Swaziland,Africa,1.202842951,7042.524359
syc,Seychelles,Africa,0.091404997,17960.35308
tcd,Chad,Africa,11.88720226,1880.374876
tgo,Togo,Africa,6.502952099,1222.815053
tun,Tunisia,Africa,10.63993073,10647.83498
tza,Tanzania,Africa,44.82893753,1979.171864
uga,Uganda,Africa,33.91513443,1723.594336
zaf,South Africa,Africa,51.58466339,11388.64052
zmb,Zambia,Africa,13.85003281,2870.887266
zwe,Zimbabwe,Africa,14.08631706,1479.030584
are,United Arab Emirates,Asia,8.270684242,59707.41257
arm,Armenia,Asia,2.877310991,8222.945234
aze,Azerbaijan,Asia,9.032457352,12947.1022
bgd,Bangladesh,Asia,152.1491089,2411.102069
bhr,Bahrain,Asia,1.240862012,37045.81311
brn,Brunei,Asia,0.38866201,67320.89957
btn,Bhutan,Asia,0.727640986,7235.189748
chn,China,Asia,1359.755127,9337.290773
cyp,Cyprus,Asia,0.829446018,28046.37388
geo,Georgia,Asia,4.231660843,7966.602757
hkg,Hong Kong,Asia,7.025220871,41687.94642
ind,India,Asia,1230.980713,4357.059736
irn,Iran,Asia,74.56751251,17328.45788
irq,Iraq,Asia,30.76270103,9344.543768
isr,Israel,Asia,7.42595911,28638.90374
jor,Jordan,Asia,7.182390213,9351.387283
jpn,Japan,Asia,128.5518799,36595.63364
kaz,Kazakhstan,Asia,16.39897537,17908.83993
kgz,Kyrgyzstan,Asia,5.422337055,3382.463906
khm,Cambodia,Asia,14.30873966,2330.127208
kor,South Korea,Asia,49.55285645,31589.70516
kwt,Kuwait,Asia,2.998083115,67029.5168
lao,Laos,Asia,6.246273994,4316.969859
lbn,Lebanon,Asia,4.337141037,18025.24894
lka,Sri Lanka,Asia,20.19835281,8390.429702
